Russia A
SaudiArabia A
Egypt A
Uruguay A
Portugal B
Spain B
Morocco B
Iran B
France C
Australia C
Peru C
Denmark C
Argentina D
Iceland D
Croatia D
Nigeria D
Brazil E
Switzerland E
CostaRica E
Serbia E
Germany F
Mexico F
Sweden F
SouthKorea F
Belgium G
Panama G
Tunisia G
England G
Poland H
Senegal H
Colombia H
Japan H
